month,year,plot,stake,species,abundance
July,2009,1,11,cono bico,2
July,2009,1,11,novo cock,2
July,2009,1,11,phei sita,15
July,2009,1,11,phei xero,20
July,2009,1,13,novo cock,1
July,2009,1,13,sole xylo,30
July,2009,1,15,novo cock,4
July,2009,1,17,cono bico,1
July,2009,1,17,novo cock,3
July,2009,1,17,phei sita,30
July,2009,1,17,phei xero,30
July,2009,1,22,novo cock,1
July,2009,1,22,pogo dese,2
July,2009,1,22,sole xylo,25
July,2009,1,24,sole xylo,30
July,2009,1,26,cono bico,1
July,2009,1,26,phei sita,30
July,2009,1,26,phei xero,25
July,2009,1,31,novo cock,1
July,2009,1,33,novo cock,4
July,2009,1,35,pogo dese,2
July,2009,1,35,sole sp,1
July,2009,1,37,sole xylo,10
July,2009,1,42,sole xylo,80
July,2009,1,44,novo cock,10
July,2009,1,44,phei xero,1
July,2009,1,46,phei xero,2
July,2009,1,51,novo cock,2
July,2009,1,51,pogo dese,20
July,2009,1,53,novo cock,5
July,2009,1,53,phei sita,15
July,2009,1,53,phei xero,30
July,2009,1,53,pogo dese,2
July,2009,1,55,novo cock,1
July,2009,1,55,sole xylo,40
July,2009,1,57,sole xylo,10
July,2009,1,62,novo cock,1
July,2009,1,62,pogo dese,10
July,2009,1,64,novo cock,4
July,2009,1,66,novo cock,5
July,2009,1,66,pogo dese,1
July,2009,1,71,novo cock,5
July,2009,1,71,phei xero,1
July,2009,1,73,sole xylo,30
July,2009,1,75,novo cock,2
July,2009,2,11,novo cock,5
July,2009,2,11,phei sita,1
July,2009,2,13,novo cock,3
July,2009,2,15,novo cock,5
July,2009,2,17,cono bico,1
July,2009,2,17,novo cock,8
July,2009,2,22,novo cock,2
July,2009,2,24,novo cock,4
July,2009,2,26,novo cock,6
July,2009,2,31,novo cock,15
July,2009,2,33,novo cock,5
July,2009,2,33,phei xero,2
July,2009,2,35,novo cock,8
July,2009,2,35,phei sita,1
July,2009,2,42,novo cock,6
July,2009,2,44,novo cock,6
July,2009,2,46,novo cock,10
July,2009,2,51,novo cock,10
July,2009,2,53,novo cock,15
July,2009,2,55,novo cock,7
July,2009,2,57,novo cock,5
July,2009,2,62,novo cock,5
July,2009,2,64,novo cock,15
July,2009,2,66,novo cock,5
July,2009,2,71,novo cock,6
July,2009,2,71,sole sp,2
July,2009,2,73,novo cock,3
July,2009,2,73,sole sp,1
July,2009,2,75,novo cock,4
July,2009,2,77,novo cock,2
July,2009,3,13,novo cock,2
July,2009,3,13,sole xylo,20
July,2009,3,15,novo cock,6
July,2009,3,17,sole xylo,40
July,2009,3,22,sole xylo,20
July,2009,3,24,novo cock,20
July,2009,3,24,sole xylo,3
July,2009,3,26,novo cock,6
July,2009,3,31,novo cock,1
July,2009,3,31,pogo dese,5
July,2009,3,33,novo cock,5
July,2009,3,35,sole xylo,15
July,2009,3,37,novo cock,1
July,2009,3,37,phei xero,10
July,2009,3,42,pogo dese,2
July,2009,3,42,sole xylo,35
July,2009,3,44,sole xylo,20
July,2009,3,46,novo cock,2
July,2009,3,46,pogo dese,3
July,2009,3,51,phei sita,15
July,2009,3,53,novo cock,1
July,2009,3,55,sole xylo,25
July,2009,3,57,sole xylo,15
July,2009,3,62,sole xylo,10
July,2009,3,64,sole xylo,40
July,2009,3,66,phei sita,1
July,2009,3,66,pogo dese,2
July,2009,3,71,sole xylo,10
July,2009,3,73,phei xero,5
July,2009,3,75,sole xylo,25
July,2009,3,77,novo cock,1
July,2009,3,77,sole xylo,10
July,2009,4,11,pogo dese,1
July,2009,4,11,sole xylo,10
July,2009,4,13,sole xylo,20
July,2009,4,17,novo cock,1
July,2009,4,17,phei sita,2
July,2009,4,17,phei xero,2
July,2009,4,22,sole xylo,5
July,2009,4,24,sole xylo,15
July,2009,4,26,sole xylo,30
July,2009,4,31,sole xylo,10
July,2009,4,33,sole xylo,25
July,2009,4,35,sole xylo,20
July,2009,4,37,novo cock,1
July,2009,4,37,sole xylo,15
July,2009,4,42,pogo dese,1
July,2009,4,42,sole xylo,2
July,2009,4,44,sole xylo,4
July,2009,4,46,phei xero,1
July,2009,4,46,sole xylo,10
July,2009,4,53,sole xylo,10
July,2009,4,55,sole xylo,2
July,2009,4,57,sole xylo,4
July,2009,4,62,sole xylo,20
July,2009,4,66,novo cock,4
July,2009,4,66,phei sita,1
July,2009,4,66,pogo dese,3
July,2009,4,73,sole xylo,40
July,2009,4,75,pogo dese,5
July,2009,4,75,sole xylo,2
July,2009,4,77,novo cock,1
July,2009,4,77,sole xylo,10
July,2009,5,11,novo cock,2
July,2009,5,11,phei xero,10
July,2009,5,11,pogo dese,1
July,2009,5,13,pogo dese,2
July,2009,5,13,sole xylo,20
July,2009,5,15,sole xylo,25
July,2009,5,17,sole xylo,50
July,2009,5,22,novo cock,1
July,2009,5,22,sole xylo,25
July,2009,5,24,pogo dese,1
July,2009,5,24,sole xylo,30
July,2009,5,26,novo cock,1
July,2009,5,26,sole xylo,70
July,2009,5,31,pogo dese,1
July,2009,5,31,sole xylo,30
July,2009,5,33,novo cock,2
July,2009,5,33,pogo dese,2
July,2009,5,35,sole xylo,40
July,2009,5,37,pogo dese,1
July,2009,5,37,sole xylo,50
July,2009,5,42,phei xero,15
July,2009,5,42,pogo dese,1
July,2009,5,44,sole xylo,60
July,2009,5,46,novo cock,2
July,2009,5,46,phei xero,4
July,2009,5,51,novo cock,1
July,2009,5,51,pogo dese,15
July,2009,5,53,novo cock,3
July,2009,5,53,sole xylo,10
July,2009,5,55,novo cock,9
July,2009,5,55,phei sita,6
July,2009,5,57,novo cock,1
July,2009,5,57,phei xero,30
July,2009,5,62,sole xylo,40
July,2009,5,64,novo cock,1
July,2009,5,64,pogo dese,5
July,2009,5,64,pogo imbe,1
July,2009,5,66,novo cock,1
July,2009,5,66,pogo dese,7
July,2009,5,66,pogo imbe,1
July,2009,5,71,phei xero,25
July,2009,5,71,pogo dese,15
July,2009,5,73,phei xero,30
July,2009,5,73,pogo dese,15
July,2009,5,75,novo cock,1
July,2009,5,75,phei xero,20
July,2009,5,77,sole xylo,50
July,2009,6,11,sole sp,1
July,2009,6,11,sole xylo,2
July,2009,6,13,sole xylo,70
July,2009,6,15,novo cock,6
July,2009,6,15,pogo imbe,2
July,2009,6,17,pogo imbe,2
July,2009,6,17,sole xylo,10
July,2009,6,22,novo cock,4
July,2009,6,24,pogo rugo,80
July,2009,6,26,novo cock,6
July,2009,6,26,phei xero,8
July,2009,6,31,novo cock,2
July,2009,6,31,phei xero,10
July,2009,6,33,novo cock,3
July,2009,6,33,pogo rugo,6
July,2009,6,35,novo cock,4
July,2009,6,35,phei xero,6
July,2009,6,37,novo cock,5
July,2009,6,37,sole xylo,2
July,2009,6,42,novo cock,2
July,2009,6,42,phei xero,5
July,2009,6,44,pogo rugo,1
July,2009,6,44,sole xylo,15
July,2009,6,46,novo cock,6
July,2009,6,51,novo cock,6
July,2009,6,51,phei xero,4
July,2009,6,53,novo cock,4
July,2009,6,53,pogo rugo,2
July,2009,6,55,novo cock,1
July,2009,6,55,sole xylo,10
July,2009,6,57,novo cock,2
July,2009,6,57,sole xylo,10
July,2009,6,62,novo cock,2
July,2009,6,62,sole xylo,6
July,2009,6,64,novo cock,2
July,2009,6,64,sole xylo,10
July,2009,6,66,novo cock,15
July,2009,6,71,sole xylo,60
July,2009,6,73,novo cock,4
July,2009,6,73,sole xylo,3
July,2009,6,75,novo cock,1
July,2009,6,77,novo cock,2
July,2009,6,77,phei xero,40
July,2009,7,11,novo cock,15
July,2009,7,13,novo cock,6
July,2009,7,15,novo cock,20
July,2009,7,17,novo cock,15
July,2009,7,22,novo cock,7
July,2009,7,24,novo cock,9
July,2009,7,26,novo cock,15
July,2009,7,31,novo cock,6
July,2009,7,33,novo cock,9
July,2009,7,35,cono insa,2
July,2009,7,35,novo cock,10
July,2009,7,35,sole sp,1
July,2009,7,37,novo cock,10
July,2009,7,37,sole xylo,20
July,2009,7,42,novo cock,8
July,2009,7,44,novo cock,3
July,2009,7,46,novo cock,6
July,2009,7,51,novo cock,1
July,2009,7,51,sole xylo,25
July,2009,7,53,crem sp,1
July,2009,7,53,novo cock,2
July,2009,7,53,phei xero,25
July,2009,7,55,novo cock,2
July,2009,7,55,sole xylo,4
July,2009,7,57,novo cock,5
July,2009,7,62,crem sp,4
July,2009,7,62,novo cock,5
July,2009,7,64,sole xylo,30
July,2009,7,66,novo cock,7
July,2009,7,71,novo cock,6
July,2009,7,71,phei xero,8
July,2009,7,73,irid prui,3
July,2009,7,73,novo cock,1
July,2009,7,73,sole xylo,7
July,2009,7,75,novo cock,1
July,2009,7,77,novo cock,2
July,2009,7,77,phei xero,15
July,2009,7,77,sole xylo,10
July,2009,8,11,novo cock,1
July,2009,8,15,sole xylo,15
July,2009,8,17,phei xero,2
July,2009,8,22,novo cock,2
July,2009,8,22,sole xylo,20
July,2009,8,24,phei xero,3
July,2009,8,24,sole xylo,15
July,2009,8,31,sole xylo,20
July,2009,8,33,pogo dese,2
July,2009,8,35,pogo dese,1
July,2009,8,42,novo cock,1
